iter	Passed	Remaining
0	230	230276
1	298	148945
2	367	122249
3	444	110709
4	516	102792
5	580	96122
6	647	91892
7	716	88809
8	785	86529
9	848	84049
10	925	83244
11	991	81655
12	1054	80044
13	1122	79058
14	1189	78088
15	1257	77319
16	1323	76535
17	1391	75926
18	1455	75167
19	1519	74478
20	1582	73769
21	1648	73277
22	1712	72744
23	1785	72591
24	1843	71915
25	1908	71499
26	1962	70710
27	2024	70279
28	2088	69922
29	2154	69646
30	2215	69264
31	2279	68943
32	2345	68744
33	2415	68636
34	2477	68304
35	2550	68305
36	2611	67972
37	2674	67707
38	2737	67463
39	2801	67246
40	2862	66960
41	2922	66671
42	2995	66662
43	3060	66490
44	3123	66279
45	3192	66201
46	3253	65967
47	3319	65834
48	3433	66637
49	3531	67107
50	3639	67726
51	3756	68482
52	3861	69001
53	3969	69538
54	4074	70010
55	4198	70768
56	4309	71294
57	4430	71958
58	4580	73049
59	4770	74742
60	5084	78275
61	5244	79343
62	5376	79966
63	5506	80530
64	5640	81130
65	5806	82176
66	5957	82962
67	6109	83735
68	6254	84385
69	6392	84926
70	6619	86615
71	6958	89681
72	7132	90574
73	7283	91147
74	7445	91822
75	7854	95489
76	8174	97983
77	8508	100576
78	8766	102201
79	8945	102872
80	9073	102941
81	9178	102758
82	9277	102494
83	9366	102140
84	9475	101999
85	9567	101677
86	9666	101446
87	9790	101462
88	9912	101467
89	10175	102884
90	10464	104529
91	10661	105220
92	10820	105532
93	11034	106353
94	11198	106682
95	11383	107197
96	11608	108070
97	11733	107992
98	11821	107587
99	11894	107048
100	11971	106561
101	12043	106026
102	12110	105471
103	12181	104952
104	12291	104772
105	12402	104600
106	12485	104204
107	12561	103751
108	12642	103344
109	12714	102871
110	12785	102401
111	12860	101966
112	12930	101500
113	13008	101103
114	13089	100733
115	13163	100314
116	13234	99879
117	13306	99458
118	13379	99052
119	13448	98625
120	13521	98225
121	13599	97874
122	13685	97579
123	13912	98286
124	14063	98445
125	14232	98722
126	14387	98901
127	14526	98964
128	14657	98967
129	14756	98754
130	14857	98557
131	14966	98417
132	15069	98238
133	15138	97835
134	15208	97446
135	15279	97072
136	15363	96776
137	15478	96682
138	15579	96503
139	15754	96778
140	15925	97023
141	16163	97662
142	16381	98173
143	16514	98169
144	16665	98271
145	16898	98844
146	17073	99072
147	17195	98990
148	17324	98948
149	17476	99033
150	17624	99093
151	17830	99473
152	18007	99687
153	18137	99640
154	18265	99578
155	18390	99495
156	18494	99306
157	18588	99062
158	18697	98895
159	18771	98551
160	18986	98943
161	19137	98993
162	19243	98816
163	19357	98677
164	19460	98481
165	19523	98086
166	19587	97702
167	19652	97326
168	19720	96968
169	19786	96603
170	19847	96221
171	19909	95845
172	19979	95508
173	20039	95131
174	20102	94770
175	20173	94449
176	20251	94163
177	20321	93845
178	20394	93543
179	20457	93195
180	20527	92882
181	20589	92539
182	20653	92206
183	20729	91931
184	20804	91651
185	20879	91375
186	20955	91106
187	21033	90846
188	21127	90659
189	21207	90411
190	21275	90114
191	21337	89795
192	21398	89476
193	21462	89168
194	21542	88930
195	21617	88674
196	21679	88369
197	21768	88175
198	21835	87891
199	21898	87593
200	21958	87287
201	22018	86983
202	22085	86709
203	22153	86441
204	22218	86162
205	22283	85888
206	22347	85613
207	22419	85366
208	22479	85079
209	22544	84810
210	22604	84525
211	22674	84282
212	22746	84045
213	22812	83788
214	22873	83514
215	22936	83251
216	22998	82984
217	23061	82723
218	23123	82461
219	23188	82214
220	23248	81947
221	23322	81732
222	23391	81501
223	23458	81265
224	23525	81033
225	23588	80785
226	23653	80546
227	23725	80334
228	23798	80123
229	23875	79930
230	23948	79725
231	24011	79485
232	24079	79265
233	24147	79045
234	24221	78849
235	24284	78615
236	24349	78391
237	24410	78153
238	24479	77944
239	24555	77759
240	24622	77546
241	24689	77332
242	24766	77152
243	24841	76967
244	24918	76790
245	24980	76566
246	25047	76359
247	25124	76184
248	25201	76009
249	25270	75810
250	25346	75636
251	25419	75450
252	25483	75242
253	25544	75024
254	25616	74839
255	25687	74653
256	25757	74464
257	25822	74263
258	25887	74063
259	25952	73863
260	26038	73725
261	26109	73544
262	26179	73362
263	26249	73179
264	26321	73004
265	26399	72845
266	26468	72663
267	26546	72507
268	26617	72332
269	26694	72174
270	26767	72006
271	26835	71825
272	26918	71683
273	26990	71515
274	27065	71355
275	27149	71219
276	27216	71037
277	27288	70872
278	27364	70716
279	27443	70568
280	27517	70409
281	27585	70234
282	27656	70070
283	27728	69907
284	27800	69745
285	27872	69584
286	27957	69454
287	28026	69286
288	28093	69115
289	28175	68981
290	28254	68839
291	28327	68683
292	28390	68504
293	28452	68324
294	28540	68208
295	28619	68067
296	28697	67927
297	28764	67761
298	28834	67602
299	28906	67447
300	28976	67290
301	29056	67157
302	29132	67014
303	29203	66860
304	29272	66701
305	29344	66553
306	29423	66417
307	29494	66266
308	29577	66143
309	29646	65986
310	29734	65875
311	29804	65723
312	29879	65581
313	29952	65437
314	30042	65331
315	30120	65197
316	30210	65090
317	30298	64978
318	30366	64826
319	30439	64683
320	30503	64522
321	30570	64368
322	30639	64219
323	30704	64062
324	30769	63906
325	30826	63733
326	30894	63584
327	30955	63420
328	31018	63262
329	31079	63100
330	31154	62968
331	31218	62812
332	31285	62664
333	31355	62522
334	31423	62377
335	31489	62228
336	31554	62078
337	31617	61925
338	31687	61786
339	31750	61632
340	31816	61486
341	31882	61341
342	31951	61202
343	32016	61055
344	32083	60912
345	32153	60776
346	32226	60644
347	32291	60499
348	32359	60360
349	32427	60222
350	32522	60134
351	32589	59993
352	32654	59850
353	32719	59707
354	32789	59575
355	32853	59432
356	32922	59296
357	32986	59154
358	33049	59010
359	33112	58867
360	33176	58724
361	33240	58583
362	33314	58461
363	33381	58325
364	33451	58196
365	33519	58064
366	33588	57933
367	33650	57791
368	33730	57680
369	33812	57572
370	33880	57442
371	33951	57315
372	34024	57193
373	34093	57065
374	34167	56945
375	34238	56821
376	34302	56685
377	34369	56555
378	34443	56436
379	34504	56296
380	34567	56161
381	34636	56034
382	34700	55901
383	34763	55767
384	34828	55634
385	34896	55509
386	34957	55371
387	35026	55247
388	35089	55114
389	35155	54987
390	35220	54857
391	35290	54736
392	35352	54602
393	35422	54482
394	35490	54359
395	35555	54230
396	35620	54104
397	35685	53977
398	35748	53846
399	35817	53726
400	35886	53605
401	35961	53494
402	36020	53360
403	36085	53235
404	36147	53106
405	36217	52988
406	36287	52870
407	36358	52755
408	36428	52639
409	36498	52521
410	36562	52397
411	36633	52282
412	36703	52166
413	36768	52043
414	36831	51918
415	36893	51793
416	36958	51671
417	37022	51547
418	37093	51435
419	37153	51307
420	37220	51188
421	37280	51061
422	37350	50949
423	37423	50839
424	37496	50730
425	37566	50617
426	37628	50494
427	37692	50374
428	37763	50263
429	37831	50148
430	37901	50037
431	37967	49920
432	38034	49805
433	38097	49685
434	38157	49560
435	38216	49435
436	38280	49317
437	38347	49204
438	38412	49087
439	38479	48973
440	38545	48858
441	38617	48752
442	38677	48630
443	38747	48521
444	38818	48414
445	38887	48304
446	38950	48186
447	39018	48075
448	39085	47964
449	39154	47855
450	39220	47742
451	39284	47628
452	39348	47513
453	39412	47399
454	39474	47282
455	39541	47172
456	39608	47062
457	39675	46952
458	39739	46838
459	39805	46727
460	39873	46619
461	39936	46506
462	40001	46395
463	40072	46290
464	40137	46179
465	40203	46070
466	40265	45956
467	40332	45847
468	40396	45736
469	40456	45621
470	40519	45508
471	40587	45403
472	40649	45290
473	40714	45181
474	40779	45072
475	40844	44962
476	40915	44861
477	40980	44752
478	41044	44643
479	41115	44542
480	41182	44435
481	41259	44340
482	41321	44230
483	41384	44120
484	41447	44010
485	41511	43902
486	41573	43793
487	41644	43692
488	41708	43585
489	41773	43478
490	41846	43380
491	41922	43285
492	42003	43196
493	42083	43105
494	42157	43008
495	42226	42907
496	42298	42808
497	42371	42711
498	42449	42619
499	42521	42521
500	42592	42422
501	42664	42324
502	42730	42221
503	42802	42123
504	42878	42029
505	42958	41939
506	43030	41842
507	43106	41749
508	43194	41666
509	43275	41577
510	43346	41480
511	43420	41385
512	43489	41285
513	43561	41188
514	43635	41093
515	43713	41002
516	43782	40903
517	43859	40811
518	43930	40713
519	43994	40610
520	44062	40509
521	44144	40423
522	44215	40326
523	44281	40225
524	44347	40124
525	44420	40029
526	44494	39935
527	44572	39845
528	44651	39755
529	44730	39666
530	44799	39569
531	44871	39473
532	44940	39375
533	45027	39293
534	45095	39195
535	45167	39100
536	45240	39006
537	45311	38910
538	45387	38819
539	45459	38724
540	45536	38634
541	45613	38543
542	45687	38451
543	45762	38360
544	45834	38265
545	45912	38176
546	45988	38085
547	46074	38003
548	46145	37908
549	46225	37820
550	46313	37739
551	46378	37640
552	46443	37541
553	46510	37443
554	46581	37349
555	46649	37252
556	46720	37158
557	46786	37060
558	46851	36961
559	46915	36862
560	46983	36765
561	47049	36668
562	47114	36570
563	47184	36475
564	47249	36378
565	47316	36281
566	47387	36187
567	47451	36089
568	47516	35992
569	47584	35897
570	47653	35802
571	47716	35704
572	47787	35611
573	47853	35514
574	47931	35427
575	48020	35348
576	48100	35262
577	48175	35173
578	48259	35090
579	48343	35007
580	48432	34927
581	48494	34829
582	48559	34732
583	48618	34632
584	48684	34537
585	48744	34437
586	48811	34342
587	48877	34247
588	48941	34150
589	49006	34055
590	49076	33963
591	49138	33865
592	49208	33773
593	49274	33679
594	49337	33582
595	49406	33490
596	49468	33393
597	49535	33300
598	49596	33202
599	49666	33110
600	49732	33016
601	49794	32920
602	49866	32830
603	49929	32735
604	49991	32639
605	50057	32545
606	50129	32456
607	50205	32369
608	50273	32277
609	50335	32181
610	50403	32089
611	50467	31995
612	50537	31905
613	50606	31814
614	50672	31721
615	50735	31627
616	50806	31537
617	50881	31451
618	50948	31359
619	51012	31265
620	51079	31174
621	51139	31078
622	51202	30984
623	51278	30898
624	51350	30810
625	51417	30719
626	51484	30628
627	51550	30536
628	51625	30450
629	51692	30359
630	51756	30266
631	51825	30176
632	51894	30087
633	51956	29994
634	52017	29899
635	52083	29808
636	52154	29720
637	52221	29630
638	52288	29540
639	52354	29449
640	52431	29364
641	52499	29275
642	52568	29186
643	52634	29096
644	52705	29008
645	52771	28918
646	52837	28827
647	52906	28739
648	52976	28651
649	53046	28563
650	53113	28474
651	53178	28383
652	53240	28291
653	53300	28198
654	53372	28112
655	53439	28023
656	53505	27933
657	53568	27842
658	53641	27756
659	53718	27672
660	53794	27589
661	53880	27510
662	53960	27428
663	54027	27339
664	54088	27247
665	54153	27158
666	54218	27068
667	54281	26978
668	54343	26887
669	54405	26796
670	54471	26708
671	54537	26619
672	54601	26529
673	54662	26438
674	54724	26348
675	54788	26259
676	54871	26179
677	54934	26089
678	54993	25998
679	55070	25915
680	55145	25831
681	55212	25744
682	55277	25655
683	55352	25572
684	55418	25484
685	55493	25400
686	55559	25312
687	55624	25225
688	55691	25138
689	55755	25049
690	55818	24960
691	55886	24874
692	55953	24787
693	56012	24697
694	56083	24612
695	56148	24524
696	56215	24437
697	56312	24364
698	56373	24275
699	56433	24185
700	56501	24099
701	56566	24012
702	56638	23928
703	56702	23840
704	56766	23753
705	56838	23669
706	56903	23582
707	56973	23497
708	57040	23411
709	57104	23324
710	57180	23242
711	57243	23154
712	57307	23067
713	57373	22981
714	57438	22894
715	57505	22809
716	57570	22723
717	57639	22638
718	57714	22556
719	57776	22468
720	57840	22382
721	57921	22302
722	58000	22221
723	58070	22137
724	58139	22052
725	58214	21970
726	58286	21887
727	58359	21804
728	58439	21724
729	58514	21642
730	58587	21559
731	58656	21475
732	58728	21392
733	58810	21312
734	58887	21231
735	58959	21148
736	59036	21067
737	59123	20989
738	59206	20910
739	59276	20826
740	59353	20745
741	59424	20662
742	59496	20579
743	59572	20498
744	59658	20419
745	59732	20337
746	59799	20253
747	59870	20170
748	59937	20085
749	60023	20007
750	60095	19925
751	60162	19840
752	60233	19757
753	60302	19674
754	60381	19594
755	60453	19511
756	60521	19427
757	60598	19346
758	60666	19262
759	60739	19180
760	60805	19096
761	60886	19017
762	60968	18937
763	61043	18856
764	61114	18773
765	61186	18691
766	61264	18611
767	61344	18531
768	61429	18452
769	61508	18372
770	61577	18289
771	61652	18208
772	61722	18125
773	61804	18046
774	61878	17964
775	61961	17885
776	62038	17805
777	62122	17726
778	62207	17648
779	62280	17566
780	62358	17485
781	62437	17405
782	62507	17323
783	62571	17239
784	62640	17156
785	62710	17073
786	62774	16989
787	62840	16906
788	62909	16823
789	62974	16740
790	63048	16658
791	63120	16577
792	63184	16493
793	63248	16409
794	63309	16325
795	63378	16242
796	63447	16160
797	63528	16081
798	63596	15998
799	63662	15915
800	63729	15832
801	63798	15750
802	63868	15668
803	63943	15588
804	64020	15508
805	64091	15426
806	64160	15344
807	64228	15262
808	64293	15179
809	64359	15096
810	64426	15014
811	64493	14931
812	64569	14851
813	64644	14771
814	64711	14689
815	64784	14608
816	64851	14526
817	64918	14443
818	64988	14362
819	65063	14282
820	65128	14199
821	65206	14120
822	65267	14036
823	65337	13955
824	65412	13875
825	65484	13794
826	65555	13713
827	65631	13633
828	65704	13553
829	65775	13471
830	65843	13390
831	65912	13309
832	65985	13228
833	66060	13148
834	66125	13066
835	66192	12985
836	66259	12903
837	66328	12822
838	66395	12740
839	66469	12660
840	66535	12579
841	66603	12497
842	66674	12417
843	66760	12339
844	66824	12257
845	66892	12176
846	66952	12094
847	67019	12012
848	67083	11931
849	67148	11849
850	67216	11768
851	67283	11687
852	67344	11605
853	67414	11525
854	67478	11443
855	67545	11362
856	67612	11281
857	67679	11201
858	67739	11119
859	67808	11038
860	67873	10957
861	67940	10876
862	68007	10796
863	68067	10714
864	68141	10634
865	68204	10553
866	68272	10473
867	68343	10393
868	68408	10312
869	68475	10232
870	68546	10152
871	68607	10070
872	68666	9989
873	68733	9908
874	68802	9828
875	68873	9749
876	68943	9669
877	69011	9589
878	69077	9508
879	69147	9429
880	69208	9348
881	69277	9268
882	69348	9188
883	69410	9108
884	69478	9028
885	69544	8948
886	69615	8868
887	69680	8788
888	69747	8708
889	69816	8628
890	69879	8548
891	69950	8469
892	70015	8389
893	70079	8309
894	70142	8229
895	70210	8149
896	70277	8069
897	70339	7989
898	70404	7909
899	70469	7829
900	70528	7749
901	70594	7669
902	70661	7590
903	70725	7510
904	70789	7430
905	70856	7351
906	70921	7271
907	70992	7193
908	71063	7114
909	71129	7034
910	71191	6955
911	71254	6875
912	71319	6796
913	71383	6716
914	71456	6638
915	71523	6558
916	71584	6479
917	71646	6399
918	71709	6320
919	71771	6240
920	71850	6163
921	71918	6084
922	71980	6004
923	72054	5926
924	72117	5847
925	72179	5768
926	72244	5689
927	72314	5610
928	72378	5531
929	72445	5452
930	72517	5374
931	72608	5297
932	72685	5219
933	72754	5141
934	72817	5062
935	72886	4983
936	72952	4905
937	73014	4826
938	73080	4747
939	73152	4669
940	73215	4590
941	73283	4512
942	73351	4433
943	73414	4355
944	73479	4276
945	73552	4198
946	73620	4120
947	73685	4041
948	73748	3963
949	73823	3885
950	73905	3807
951	73988	3730
952	74060	3652
953	74133	3574
954	74215	3497
955	74286	3419
956	74369	3341
957	74446	3263
958	74531	3186
959	74612	3108
960	74691	3031
961	74767	2953
962	74847	2875
963	74922	2797
964	74997	2720
965	75073	2642
966	75139	2564
967	75216	2486
968	75289	2408
969	75361	2330
970	75433	2252
971	75504	2175
972	75583	2097
973	75660	2019
974	75733	1941
975	75805	1864
976	75880	1786
977	75954	1708
978	76032	1630
979	76093	1552
980	76162	1475
981	76229	1397
982	76303	1319
983	76377	1241
984	76449	1164
985	76526	1086
986	76607	1009
987	76676	931
988	76746	853
989	76827	776
990	76899	698
991	76966	620
992	77044	543
993	77124	465
994	77200	387
995	77288	310
996	77367	232
997	77445	155
998	77507	77
999	77582	0
